year,to_country,performer,song,performer_orig,song_orig,place_final,points_final
1961,United Kingdom,The Allisons,Are You Sure?,Sure?,Are You  The Allisons,2.0,24.0
1961,Switzerland,Franca di Rienzo,Nous aurons demain,demain,Nous aurons  Franca di Rienzo,3.0,16.0
1961,France,Jean-Paul Mauric,"Printemps, avril carillonne",carillonne,"Printemps, avril  Jean-Paul Mauric",4.0,13.0
1961,Denmark,Dario Campeotto,Angelique,Angelique, Dario Campeotto,5.0,12.0
1961,Italy,Betty Curtis,Al di là,là,Al di  Betty Curtis,5.0,12.0
1961,Norway,Nora Brockstedt,Sommer i Palma,Palma,Sommer i  Nora Brockstedt,7.0,10.0
1961,Yugoslavia,Ljiljana Petrović,Neke davne zvezde,zvezde,Neke davne  Ljiljana Petrović,8.0,9.0
1961,Spain,Conchita Bautista,Estando contigo,contigo,Estando  Conchita Bautista,9.0,8.0
1961,Monaco,Colette Deréal,"Allons, allons les enfants",enfants,"Allons, allons les  Colette Deréal",10.0,6.0
1961,Finland,Laila Kinnunen,Valoa ikkunassa,ikkunassa,Valoa  Laila Kinnunen,10.0,6.0
1961,Netherlands,Greetje Kauffeld,Wat een dag,dag,Wat een  Greetje Kauffeld,10.0,6.0
1961,Germany,Lale Andersen,Einmal sehen wir uns wieder,wieder,Einmal sehen wir uns  Lale Andersen,13.0,3.0
1961,Sweden,Lill-Babs,"April, april",april,"April,  Lill-Babs",14.0,2.0
1961,Austria,Jimmy Makulis,Sehnsucht,Sehnsucht, Jimmy Makulis,15.0,1.0
1961,Belgium,Bob Benny,"September, gouden roos",roos,"September, gouden  Bob Benny",15.0,1.0
1962,France,Isabelle Aubret,Un premier amour,amour,Un premier  Isabelle Aubret,1.0,26.0
1962,Monaco,François Deguelt,Dis rien,rien,Dis  François Deguelt,2.0,13.0
1962,Luxembourg,Camillo Felgen,Petit bonhomme,bonhomme,Petit  Camillo Felgen,3.0,11.0
1962,Yugoslavia,Lola Novaković,Ne pali svetla u sumrak,sumrak,Ne pali svetla u  Lola Novaković,4.0,10.0
1962,United Kingdom,Ronnie Carroll,Ring-A-Ding Girl,Girl,Ring-A-Ding  Ronnie Carroll,4.0,10.0
1962,Germany,Conny Froboess,Zwei kleine Italiener,Italiener,Zwei kleine  Conny Froboess,6.0,9.0
1962,Finland,Marion Rung,Tipi-tii,Tipi-tii, Marion Rung,7.0,4.0
1962,Sweden,Inger Berggren,Sol och vår,vår,Sol och  Inger Berggren,7.0,4.0
1962,Italy,Claudio Villa,"Addio, addio",addio,"Addio,  Claudio Villa",9.0,3.0
1962,Denmark,Ellen Winther,Vuggevise,Vuggevise, Ellen Winther,10.0,2.0
1962,Norway,Inger Jacobsen,"Kom sol, kom regn",regn,"Kom sol, kom  Inger Jacobsen",10.0,2.0
1962,Switzerland,Jean Philippe,Le Retour,Retour,Le  Jean Philippe,10.0,2.0
1962,Belgium,Fud Leclerc,Ton nom,nom,Ton  Fud Leclerc,13.0,0.0
1962,Spain,Victor Balaguer,Llámame,Llámame, Victor Balaguer,13.0,0.0
1962,Austria,Eleonore Schwarz,Nur in der Wiener Luft,Luft,Nur in der Wiener  Eleonore Schwarz,13.0,0.0
1962,Netherlands,De Spelbrekers,Katinka,Katinka, De Spelbrekers,13.0,0.0
1963,Denmark,Grethe & Jørgen Ingmann,Dansevise,Dansevise, Grethe & Jørgen Ingmann,1.0,42.0
1963,Switzerland,Esther Ofarim,T'en vas pas,pas,T'en vas  Esther Ofarim,2.0,40.0
1963,Italy,Emilio Pericoli,Uno per tutte,tutte,Uno per  Emilio Pericoli,3.0,37.0
1963,United Kingdom,Ronnie Carroll,Say Wonderful Things,Things,Say Wonderful  Ronnie Carroll,4.0,28.0
1963,France,Alain Barrière,Elle était si jolie,jolie,Elle était si  Alain Barrière,5.0,25.0
1963,Monaco,Françoise Hardy,L'amour s'en va,va,L'amour s'en  Françoise Hardy,5.0,25.0
1963,Austria,Carmela Corren,Vielleicht geschieht ein Wunder,Wunder,Vielleicht geschieht ein  Carmela Corren,7.0,16.0
1963,Luxembourg,Nana Mouskouri,À force de prier,prier,À force de  Nana Mouskouri,8.0,13.0
1963,Germany,Heidi Brühl,Marcel,Marcel, Heidi Brühl,9.0,5.0
1963,Belgium,Jacques Raymond,Waarom?,Waarom?, Jacques Raymond,10.0,4.0
1963,Yugoslavia,Vice Vukov,Brodovi,Brodovi, Vice Vukov,11.0,3.0
1963,Spain,José Guardiola,Algo prodigioso,prodigioso,Algo  José Guardiola,12.0,2.0
1963,Netherlands,Annie Palmen,Een speeldoos,speeldoos,Een  Annie Palmen,13.0,0.0
1963,Norway,Anita Thallaug,Solhverv,Solhverv, Anita Thallaug,13.0,0.0
1963,Finland,Laila Halme,Muistojeni laulu,laulu,Muistojeni  Laila Halme,13.0,0.0
1963,Sweden,Monica Zetterlund,En gång i Stockholm,Stockholm,En gång i  Monica Zetterlund,13.0,0.0
1964,Italy,Gigliola Cinquetti,Non ho l'età,l'età,Non ho  Gigliola Cinquetti,1.0,49.0
1964,United Kingdom,Matt Monro,I Love the Little Things,Things,I Love the Little  Matt Monro,2.0,17.0
1964,Monaco,Romuald,Où sont-elles passées?,passées?,Où sont-elles  Romuald,3.0,15.0
1964,Luxembourg,Hugues Aufray,Dès que le printemps revient,revient,Dès que le printemps  Hugues Aufray,4.0,14.0
1964,France,Rachel,Le Chant de Mallory,Mallory,Le Chant de  Rachel,4.0,14.0
1964,Austria,Udo Jürgens,"Warum nur, warum?",warum?,"Warum nur,  Udo Jürgens",6.0,11.0
1964,Finland,Lasse Mårtenson,Laiskotellen,Laiskotellen, Lasse Mårtenson,7.0,9.0
1964,Norway,Arne Bendiksen,Spiral,Spiral, Arne Bendiksen,8.0,6.0
1964,Denmark,Bjørn Tidmand,Sangen om dig,dig,Sangen om  Bjørn Tidmand,9.0,4.0
1964,Netherlands,Anneke Grönloh,Jij bent mijn leven,leven,Jij bent mijn  Anneke Grönloh,10.0,2.0
1964,Belgium,Robert Cogoi,Près de ma rivière,rivière,Près de ma  Robert Cogoi,10.0,2.0
1964,Spain,"Tim, Nelly and Tony",Caracola,Caracola," Tim, Nelly and Tony",12.0,1.0
1964,Germany,Nora Nova,Man gewöhnt sich so schnell an das Schöne,Schöne,Man gewöhnt sich so schnell an das  Nora Nova,13.0,0.0
1964,Portugal,António Calvário,Oração,Oração, António Calvário,13.0,0.0
1964,Yugoslavia,Sabahudin Kurt,Život je sklopio krug,krug,Život je sklopio  Sabahudin Kurt,13.0,0.0
1964,Switzerland,Anita Traversi,I miei pensieri,pensieri,I miei  Anita Traversi,13.0,0.0
1965,Luxembourg,France Gall,"Poupée de cire, poupée de son",son,"Poupée de cire, poupée de  France Gall",1.0,32.0
1965,United Kingdom,Kathy Kirby,I Belong,Belong,I  Kathy Kirby,2.0,26.0
1965,France,Guy Mardel,N'avoue jamais,jamais,N'avoue  Guy Mardel,3.0,22.0
1965,Austria,Udo Jürgens,"Sag ihr, ich lass sie grüßen",grüßen,"Sag ihr, ich lass sie  Udo Jürgens",4.0,16.0
1965,Italy,Bobby Solo,"Se piangi, se ridi",ridi,"Se piangi, se  Bobby Solo",5.0,15.0
1965,Ireland,Butch Moore,I'm Walking the Streets in the Rain,Rain,I'm Walking the Streets in the  Butch Moore,6.0,11.0
1965,Denmark,Birgit Brüel,For din skyld,skyld,For din  Birgit Brüel,7.0,10.0
1965,Switzerland,Yovanna,"Non, à jamais sans toi",toi,"Non, à jamais sans  Yovanna",8.0,8.0
1965,Monaco,Marjorie Noël,Va dire à l'amour,l'amour,Va dire à  Marjorie Noël,9.0,7.0
1965,Sweden,Ingvar Wixell,Absent Friend,Friend,Absent  Ingvar Wixell,10.0,6.0
1965,Netherlands,Conny Van den bos,Het is genoeg,genoeg,Het is  Conny Van den bos,11.0,5.0
1965,Yugoslavia,Vice Vukov,Čežnja,Čežnja, Vice Vukov,12.0,2.0
1965,Norway,Kirsti Sparboe,Karusell,Karusell, Kirsti Sparboe,13.0,1.0
1965,Portugal,Simone de Oliveira,Sol de inverno,inverno,Sol de  Simone de Oliveira,13.0,1.0
1965,Spain,Conchita Bautista,"Qué , qué bueno",bueno,"Qué , qué  Conchita Bautista",15.0,0.0
1965,Germany,Ulla Wiesner,"Paradies, wo bist du",du,"Paradies, wo bist  Ulla Wiesner",15.0,0.0
1965,Belgium,Lize Marke,Als het weer lente is,is,Als het weer lente  Lize Marke,15.0,0.0
1965,Finland,Viktor Klimenko,Aurinko laskee länteen,länteen,Aurinko laskee  Viktor Klimenko,15.0,0.0
1966,Austria,Udo Jürgens,Merci Chérie,Chérie,Merci  Udo Jürgens,1.0,31.0
1966,Sweden,Lill Lindfors & Svante Thuresson,Nygammal vals,vals,Nygammal  Lill Lindfors & Svante Thuresson,2.0,16.0
1966,Norway,Åse Kleveland,Intet er nytt under solen,solen,Intet er nytt under  Åse Kleveland,3.0,15.0
1966,Belgium,Tonia,"Un peu de poivre, un peu de sel",sel,"Un peu de poivre, un peu de  Tonia",4.0,14.0
1966,Ireland,Dickie Rock,Come Back to Stay,Stay,Come Back to  Dickie Rock,4.0,14.0
1966,Switzerland,Madeleine Pascal,Ne vois-tu pas ?,?,Ne vois-tu pas  Madeleine Pascal,6.0,12.0
1966,Yugoslavia,Berta Ambrož,Brez besed,besed,Brez  Berta Ambrož,7.0,9.0
1966,Spain,Raphael,Yo soy aquél,aquél,Yo soy  Raphael,7.0,9.0
1966,United Kingdom,Kenneth McKellar,A Man Without Love,Love,A Man Without  Kenneth McKellar,9.0,8.0
1966,Germany,Margot Eskens,Die Zeiger der Uhr,Uhr,Die Zeiger der  Margot Eskens,10.0,7.0
1966,Luxembourg,Michèle Torr,Ce soir je t'attendais,t'attendais,Ce soir je  Michèle Torr,10.0,7.0
1966,Finland,Ann-Christine Nyström,Playboy,Playboy, Ann-Christine Nyström,10.0,7.0
1966,Portugal,Madalena Iglésias,Ele e ela,ela,Ele e  Madalena Iglésias,13.0,6.0
1966,Denmark,Ulla Pia,"Stop, mens legen er go'",go',"Stop, mens legen er  Ulla Pia",14.0,4.0
1966,Netherlands,Milly Scott,Fernando en Philippo,Philippo,Fernando en  Milly Scott,15.0,2.0
1966,France,Dominique Walter,Chez nous,nous,Chez  Dominique Walter,16.0,1.0
1966,Monaco,Téréza,Bien plus fort,fort,Bien plus  Téréza,17.0,0.0
1966,Italy,Domenico Modugno,"Dio, come ti amo",amo,"Dio, come ti  Domenico Modugno",17.0,0.0
1967,United Kingdom,Sandie Shaw,Puppet on a String,String,Puppet on a  Sandie Shaw,1.0,47.0
1967,Ireland,Sean Dunphy,If I Could Choose,Choose,If I Could  Sean Dunphy,2.0,22.0
1967,France,Noëlle Cordier,Il doit faire beau là-bas,là-bas,Il doit faire beau  Noëlle Cordier,3.0,20.0
1967,Luxembourg,Vicky,L'amour est bleu,bleu,L'amour est  Vicky,4.0,17.0
1967,Monaco,Minouche Barelli,Boum-badaboum,Boum-badaboum, Minouche Barelli,5.0,10.0
1967,Spain,Raphael,Hablemos del amor,amor,Hablemos del  Raphael,6.0,9.0
1967,Belgium,Louis Neefs,Ik heb zorgen,zorgen,Ik heb  Louis Neefs,7.0,8.0
1967,Sweden,Östen Warnerbring,Som en dröm,dröm,Som en  Östen Warnerbring,8.0,7.0
1967,Germany,Inge Brück,Anouschka,Anouschka, Inge Brück,8.0,7.0
1967,Yugoslavia,Lado Leskovar,Vse rože sveta,sveta,Vse rože  Lado Leskovar,8.0,7.0
1967,Italy,Claudio Villa,Non andare più lontano,lontano,Non andare più  Claudio Villa,11.0,4.0
1967,Portugal,Eduardo Nascimento,O vento mudou,mudou,O vento  Eduardo Nascimento,12.0,3.0
1967,Finland,Fredi,Varjoon-suojaan,Varjoon-suojaan, Fredi,12.0,3.0
1967,Netherlands,Thérèse Steinmetz,Ring-dinge,Ring-dinge, Thérèse Steinmetz,14.0,2.0
1967,Austria,Peter Horten,Warum es hunderttausend Sterne gibt?,gibt?,Warum es hunderttausend Sterne  Peter Horten,14.0,2.0
1967,Norway,Kirsti Sparboe,Dukkemann,Dukkemann, Kirsti Sparboe,14.0,2.0
1967,Switzerland,Géraldine,Quel cœur vas-tu briser ?,?,Quel cœur vas-tu briser  Géraldine,17.0,0.0
1968,Spain,Massiel,"La, , la",la,"La, ,  Massiel",1.0,29.0
1968,United Kingdom,Cliff Richard,Congratulations,Congratulations, Cliff Richard,2.0,28.0
1968,France,Isabelle Aubret,La Source,Source,La  Isabelle Aubret,3.0,20.0
1968,Ireland,Pat McGeegan,Chance of a Lifetime,Lifetime,Chance of a  Pat McGeegan,4.0,18.0
1968,Sweden,Claes-Göran Hederström,"Det börjar verka kärlek, banne mej",mej,"Det börjar verka kärlek, banne  Claes-Göran Hederström",5.0,15.0
1968,Germany,Wencke Myhre,Ein Hoch der Liebe,Liebe,Ein Hoch der  Wencke Myhre,6.0,11.0
1968,Belgium,Claude Lombard,Quand tu reviendras,reviendras,Quand tu  Claude Lombard,7.0,8.0
1968,Monaco,Line & Willy,À chacun sa chanson,chanson,À chacun sa  Line & Willy,7.0,8.0
1968,Yugoslavia,Lući Kapurso & Hamo Hajdarhodžić,Je dan,dan,Je  Lući Kapurso & Hamo Hajdarhodžić,7.0,8.0
1968,Italy,Sergio Endrigo,Marianne,Marianne, Sergio Endrigo,10.0,7.0
1968,Portugal,Carlos Mendes,Verão,Verão, Carlos Mendes,11.0,5.0
1968,Luxembourg,Chris Baldo & Sophie Garel,Nous vivrons d'amour,d'amour,Nous vivrons  Chris Baldo & Sophie Garel,11.0,5.0
1968,Austria,Karel Gott,Tausend Fenster,Fenster,Tausend  Karel Gott,13.0,2.0
1968,Switzerland,Gianni Mascolo,Guardando il sole,sole,Guardando il  Gianni Mascolo,13.0,2.0
1968,Norway,Odd Børre,Stress,Stress, Odd Børre,13.0,2.0
1968,Netherlands,Ronnie Tober,Morgen,Morgen, Ronnie Tober,16.0,1.0
1968,Finland,Kristina Hautala,Kun kello käy,käy,Kun kello  Kristina Hautala,16.0,1.0
1969,Spain,Salomé,Vivo cantando,cantando,Vivo  Salomé,1.0,18.0
1969,United Kingdom,Lulu,Boom Bang-a-Bang,Bang-a-Bang,Boom  Lulu,1.0,18.0
1969,Netherlands,Lenny Kuhr,De troubadour,troubadour,De  Lenny Kuhr,1.0,18.0
1969,France,Frida Boccara,"Un jour, un enfant",enfant,"Un jour, un  Frida Boccara",1.0,18.0
1969,Switzerland,Paola del Medico,", Bonjour",Bonjour,",  Paola del Medico",5.0,13.0
1969,Monaco,Jean-Jacques,", Maman",Maman,",  Jean-Jacques",6.0,11.0
1969,Ireland,Muriel Day and the Lindsays,The Wages of Love,Love,The Wages of  Muriel Day and the Lindsays,7.0,10.0
1969,Belgium,Louis Neefs,Jennifer Jennings,Jennings,Jennifer  Louis Neefs,7.0,10.0
1969,Sweden,Tommy Körberg,"Judy, min vän",vän,"Judy, min  Tommy Körberg",9.0,8.0
1969,Germany,Siw Malmkvist,Primaballerina,Primaballerina, Siw Malmkvist,9.0,8.0
1969,Luxembourg,Romuald,Catherine,Catherine, Romuald,11.0,7.0
1969,Finland,Jarkko & Laura,Kuin silloin ennen,ennen,Kuin silloin  Jarkko & Laura,12.0,6.0
1969,Yugoslavia,Ivan & M's,Pozdrav svijetu,svijetu,Pozdrav  Ivan & M's,13.0,5.0
1969,Italy,Iva Zanicchi,Due grosse lacrime bianche,bianche,Due grosse lacrime  Iva Zanicchi,13.0,5.0
1969,Portugal,Simone de Oliveira,Desfolhada portuguesa,portuguesa,Desfolhada  Simone de Oliveira,15.0,4.0
1969,Norway,Kirsti Sparboe,"Oj, oj, oj, så glad jeg skal bli",bli,"Oj, oj, oj, så glad jeg skal  Kirsti Sparboe",16.0,1.0
1970,Ireland,Dana,All Kinds of Everything,Everything,All Kinds of  Dana,1.0,32.0
1970,United Kingdom,Mary Hopkin,"Knock, Knock (Who's There?)",There?),"Knock, Knock (Who's  Mary Hopkin",2.0,26.0
1970,Germany,Katja Ebstein,Wunder gibt es immer wieder,wieder,Wunder gibt es immer  Katja Ebstein,3.0,12.0
1970,Switzerland,Henri Dès,Retour,Retour, Henri Dès,4.0,8.0
1970,France,Guy Bonnet,Marie-Blanche,Marie-Blanche, Guy Bonnet,4.0,8.0
1970,Spain,Julio Iglesias,Gwendolyne,Gwendolyne, Julio Iglesias,4.0,8.0
1970,Netherlands,Patricia & Hearts of Soul,Waterman,Waterman, Patricia & Hearts of Soul,7.0,7.0
1970,Italy,Gianni Morandi,Occhi di ragazza,ragazza,Occhi di  Gianni Morandi,8.0,5.0
1970,Belgium,Jean Vallée,Viens l'oublier,l'oublier,Viens  Jean Vallée,8.0,5.0
1970,Monaco,Dominique Dussault,Marlène,Marlène, Dominique Dussault,8.0,5.0
1970,Yugoslavia,Eva Sršen,"Pridi, dala ti bom cvet",cvet,"Pridi, dala ti bom  Eva Sršen",11.0,4.0
1970,Luxembourg,David-Alexandre Winter,Je suis tombé du ciel,ciel,Je suis tombé du  David-Alexandre Winter,12.0,0.0
1971,Monaco,Séverine,"Un banc, un arbre, une rue",rue,"Un banc, un arbre, une  Séverine",1.0,128.0
1971,Spain,Karina,En un mundo nuevo,nuevo,En un mundo  Karina,2.0,116.0
1971,Germany,Katja Ebstein,Diese Welt,Welt,Diese  Katja Ebstein,3.0,100.0
1971,United Kingdom,Clodagh Rodgers,Jack in the Box,Box,Jack in the  Clodagh Rodgers,4.0,98.0
1971,Italy,Massimo Ranieri,L'amore è un attimo,attimo,L'amore è un  Massimo Ranieri,5.0,91.0
1971,Sweden,Family Four,Vita vidder,vidder,Vita  Family Four,6.0,85.0
1971,Netherlands,Saskia & Serge,Tijd,Tijd, Saskia & Serge,6.0,85.0
1971,Finland,Markku Aro and Koivisto Sisters,Tie uuteen päivään,päivään,Tie uuteen  Markku Aro and Koivisto Sisters,8.0,84.0
1971,Portugal,Tonicha,Menina do alto da serra,serra,Menina do alto da  Tonicha,9.0,83.0
1971,France,Serge Lama,Un jardin sur la terre,terre,Un jardin sur la  Serge Lama,10.0,82.0
1971,Ireland,Angela Farrell,One Day Love,Love,One Day  Angela Farrell,11.0,79.0
1971,Switzerland,"Peter, Sue and Marc",Les illusions de nos vingt ans,ans,"Les illusions de nos vingt  Peter, Sue and Marc",12.0,78.0
1971,Luxembourg,Monique Melsen,"Pomme, , pomme",pomme,"Pomme, ,  Monique Melsen",13.0,70.0
1971,Belgium,Lily Castel & Jacques Raymond,"Goeie , morgen",morgen,"Goeie ,  Lily Castel & Jacques Raymond",14.0,68.0
1971,Yugoslavia,Krunoslav Slabinac,Tvoj dječak je tužan,tužan,Tvoj dječak je  Krunoslav Slabinac,14.0,68.0
1971,Austria,Marianne Mendt,Musik,Musik, Marianne Mendt,16.0,66.0
1971,Norway,Hanne Krogh,Lykken er...,er...,Lykken  Hanne Krogh,17.0,65.0
1971,Malta,Joe Grech,Marija l-Maltija,l-Maltija,Marija  Joe Grech,18.0,52.0
1972,Luxembourg,Vicky Leandros,Après toi,toi,Après  Vicky Leandros,1.0,128.0
1972,United Kingdom,The New Seekers,"Beg, Steal or Borrow",Borrow,"Beg, Steal or  The New Seekers",2.0,114.0
1972,Germany,Mary Roos,Nur die Liebe läßt uns leben,leben,Nur die Liebe läßt uns  Mary Roos,3.0,107.0
1972,Netherlands,Sandra & Andres,Als het om de liefde gaat,gaat,Als het om de liefde  Sandra & Andres,4.0,106.0
1972,Austria,The Milestones,Falter im Wind,Wind,Falter im  The Milestones,5.0,100.0
1972,Italy,Nicola di Bari,I giorni dell'arcobaleno,dell'arcobaleno,I giorni  Nicola di Bari,6.0,92.0
1972,Portugal,Carlos Mendes,A festa da vida,vida,A festa da  Carlos Mendes,7.0,90.0
1972,Switzerland,Véronique Müller,C'est la chanson de mon amour,amour,C'est la chanson de mon  Véronique Müller,8.0,88.0
1972,Yugoslavia,Tereza,Muzika i ti,ti,Muzika i  Tereza,9.0,87.0
1972,Spain,Jaime Morey,Amanece,Amanece, Jaime Morey,10.0,83.0
1972,France,Betty Mars,Comé-comédie,Comé-comédie, Betty Mars,11.0,81.0
1972,Finland,Päivi Paunu and Kim Floor,Muistathan,Muistathan, Päivi Paunu and Kim Floor,12.0,78.0
1972,Sweden,Family Four,Härliga sommardag,sommardag,Härliga  Family Four,13.0,75.0
1972,Norway,Grethe Kausland & Benny Borg,Småting,Småting, Grethe Kausland & Benny Borg,14.0,73.0
1972,Ireland,Sandie Jones,Ceol an Ghrá,Ghrá,Ceol an  Sandie Jones,15.0,72.0
1972,Monaco,Anne-Marie Godart & Peter MacLane,Comme on s'aime,s'aime,Comme on  Anne-Marie Godart & Peter MacLane,16.0,65.0
1972,Belgium,Serge and Christine Ghisoland,À la folie ou pas du tout,tout,À la folie ou pas du  Serge and Christine Ghisoland,17.0,55.0
1972,Malta,Helen & Joseph,L-imħabba,L-imħabba, Helen & Joseph,18.0,48.0
1973,Luxembourg,Anne-Marie David,Tu te reconnaîtras,reconnaîtras,Tu te  Anne-Marie David,1.0,129.0
1973,Spain,Mocedades,Eres tú,tú,Eres  Mocedades,2.0,125.0
1973,United Kingdom,Cliff Richard,Power to All Our Friends,Friends,Power to All Our  Cliff Richard,3.0,123.0
1973,Israel,Ilanit,Ey sham,sham,Ey  Ilanit,4.0,97.0
1973,Sweden,The Nova and The Dolls,You're Summer,Summer,You're  The Nova and The Dolls,5.0,94.0
1973,Finland,Marion Rung,Tom,Tom,   Marion Rung,6.0,93.0
